Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,265.100006,274.649994,263.149994,273.450012,261.734772,44170095
2015-04-06,275.450012,287.350006,270.299988,285.750000,273.507813,66124702
2015-04-13,287.799988,294.899994,283.350006,291.750000,279.250763,61137952
2015-04-20,291.000000,293.350006,274.350006,275.549988,263.744781,70942443
2015-04-27,276.549988,276.549988,265.149994,269.750000,258.193298,54940540
2015-05-04,274.000000,278.000000,259.649994,261.950012,250.727478,61458424
2015-05-11,263.399994,288.350006,262.600006,287.450012,275.134979,70585715
2015-05-18,289.899994,305.000000,280.750000,282.450012,270.349213,121223236
2015-05-25,280.200012,284.299988,274.200012,278.149994,266.233429,70044121
2015-06-01,278.649994,282.000000,253.750000,257.799988,249.870285,92939537
2015-06-08,258.750000,262.950012,251.800003,253.949997,246.138718,75869751
2015-06-15,255.000000,263.100006,248.850006,260.149994,252.147980,58497887
2015-06-22,260.899994,271.200012,259.049988,265.200012,257.042694,66688180
2015-06-29,258.750000,271.250000,255.000000,269.399994,261.113495,57275118
2015-07-06,263.200012,274.649994,262.000000,270.549988,262.228088,49909126
2015-07-13,272.000000,274.350006,267.149994,271.100006,262.761200,40170319
2015-07-20,272.000000,272.000000,261.899994,263.250000,255.152664,37552377
2015-07-27,263.200012,273.750000,252.300003,270.049988,261.743500,58646323
2015-08-03,270.000000,291.799988,269.899994,281.299988,272.647430,90147982
2015-08-10,282.049988,289.450012,255.050003,268.500000,260.241150,114865776
2015-08-17,272.000000,288.000000,256.200012,267.500000,259.271912,104289117
2015-08-24,254.699997,257.700012,240.000000,248.949997,241.292511,107101380
2015-08-31,249.000000,251.350006,224.000000,225.149994,218.224564,100136296
2015-09-07,227.100006,234.500000,220.149994,230.100006,223.022324,77697970
2015-09-14,231.550003,246.449997,230.000000,242.000000,234.556274,51186536
2015-09-21,239.550003,248.449997,233.600006,239.050003,231.697021,46183348
2015-09-28,241.000000,245.399994,232.199997,235.149994,227.916977,61679324
2015-10-05,238.100006,247.800003,237.250000,243.449997,235.961685,60405262
2015-10-12,244.100006,257.149994,241.300003,256.799988,248.901031,48984713
2015-10-19,256.649994,257.100006,248.550003,253.399994,245.605637,33932169
2015-10-26,254.750000,256.000000,235.100006,237.050003,229.758545,56745347
2015-11-02,238.000000,244.800003,232.699997,243.000000,235.525513,64080804
2015-11-09,236.000000,248.300003,235.600006,240.250000,232.860123,45718073
2015-11-16,239.500000,251.649994,239.100006,242.949997,235.477066,56766580
2015-11-23,243.899994,250.500000,240.550003,249.699997,242.019440,45983620
2015-11-30,249.649994,253.000000,238.050003,241.100006,233.683975,51519560
2015-12-07,242.949997,242.949997,225.100006,227.300003,220.308441,47781448
2015-12-14,224.899994,232.399994,224.000000,226.500000,219.533051,69310213
2015-12-21,226.899994,232.250000,226.500000,228.300003,221.277695,33884941
2015-12-28,229.050003,229.949997,224.000000,227.800003,220.793076,45730773
2016-01-04,226.949997,226.949997,208.600006,208.949997,202.522873,67176161
2016-01-11,206.800003,207.500000,181.000000,184.300003,178.631088,112741985
2016-01-18,184.899994,188.149994,171.500000,184.600006,178.921860,138940426
2016-01-25,187.899994,188.800003,178.100006,179.899994,174.366425,78604640
2016-02-01,181.949997,181.949997,160.199997,168.199997,163.026306,129547958
2016-02-08,169.449997,176.899994,148.250000,154.800003,150.038483,187529893
2016-02-15,159.000000,170.750000,151.250000,164.699997,159.633957,147836960
2016-02-22,165.949997,166.800003,151.000000,155.899994,151.104645,108220602
2016-02-29,158.199997,189.850006,153.000000,188.399994,182.604965,216271657
